"kaynak","kategori","kategori_adi","term","risk_turu","risk_puani","active","baglam_kurali","updated_at"
"Sistem","korku_travma","Korku, Travma ve Karanlık Unsurlar","karabasan sahnesi","Kelime / ifade","3","True","6-10 yaş için daha sıkı değerlendirilir","Sistem varsayılanı"
"Sistem","korku_travma","Korku, Travma ve Karanlık Unsurlar","karanlık oda","Kelime / ifade","3","True","6-10 yaş için daha sıkı değerlendirilir","Sistem varsayılanı"
"Sistem","korku_travma","Korku, Travma ve Karanlık Unsurlar","karanlık oda anlatımı","Kelime / ifade","3","True","6-10 yaş için daha sıkı değerlendirilir","Sistem varsayılanı"
"Sistem","korku_travma","Korku, Travma ve Karanlık Unsurlar","karanlık oda ifadesi","Kelime / ifade","3","True","6-10 yaş için daha sıkı değerlendirilir","Sistem varsayılanı"
"Sistem","korku_travma","Korku, Travma ve Karanlık Unsurlar","karanlık oda sahnesi","Kelime / ifade","3","True","6-10 yaş için daha sıkı değerlendirilir","Sistem varsayılanı"
"Sistem","korku_travma","Korku, Travma ve Karanlık Unsurlar","korku oyunu","Kelime / ifade","3","True","6-10 yaş için daha sıkı değerlendirilir","Sistem varsayılanı"
"Sistem","korku_travma","Korku, Travma ve Karanlık Unsurlar","korku oyunu anlatımı","Kelime / ifade","3","True","6-10 yaş için daha sıkı değerlendirilir","Sistem varsayılanı"
"Sistem","korku_travma","Korku, Travma ve Karanlık Unsurlar","korku oyunu ifadesi","Kelime / ifade","3","True","6-10 yaş için daha sıkı değerlendirilir","Sistem varsayılanı"
"Sistem","korku_travma","Korku, Travma ve Karanlık Unsurlar","korku oyunu sahnesi","Kelime / ifade","3","True","6-10 yaş için daha sıkı değerlendirilir","Sistem varsayılanı"
"Sistem","korku_travma","Korku, Travma ve Karanlık Unsurlar","korkunç","Kelime / ifade","3","True","6-10 yaş için daha sıkı değerlendirilir","Sistem varsayılanı"
"Sistem","korku_travma","Korku, Travma ve Karanlık Unsurlar","korkunç anlatımı","Kelime / ifade","3","True","6-10 yaş için daha sıkı değerlendirilir","Sistem varsayılanı"
"Sistem","korku_travma","Korku, Travma ve Karanlık Unsurlar","korkunç göndermesi","Kelime / ifade","3","True","6-10 yaş için daha sıkı değerlendirilir","Sistem varsayılanı"
"Sistem","korku_travma","Korku, Travma ve Karanlık Unsurlar","korkunç ifadesi","Kelime / ifade","3","True","6-10 yaş için daha sıkı değerlendirilir","Sistem varsayılanı"
"Sistem","korku_travma","Korku, Travma ve Karanlık Unsurlar","korkunç sahnesi","Kelime / ifade","3","True","6-10 yaş için daha sıkı değerlendirilir","Sistem varsayılanı"
"Sistem","korku_travma","Korku, Travma ve Karanlık Unsurlar","lanet","Kelime / ifade","3","True","6-10 yaş için daha sıkı değerlendirilir","Sistem varsayılanı"
"Sistem","korku_travma","Korku, Travma ve Karanlık Unsurlar","lanet anlatımı","Kelime / ifade","3","True","6-10 yaş için daha sıkı değerlendirilir","Sistem varsayılanı"
"Sistem","korku_travma","Korku, Travma ve Karanlık Unsurlar","lanet göndermesi","Kelime / ifade","3","True","6-10 yaş için daha sıkı değerlendirilir","Sistem varsayılanı"
"Sistem","korku_travma","Korku, Travma ve Karanlık Unsurlar","lanet ifadesi","Kelime / ifade","3","True","6-10 yaş için daha sıkı değerlendirilir","Sistem varsayılanı"
"Sistem","korku_travma","Korku, Travma ve Karanlık Unsurlar","lanet sahnesi","Kelime / ifade","3","True","6-10 yaş için daha sıkı değerlendirilir","Sistem varsayılanı"
"Sistem","korku_travma","Korku, Travma ve Karanlık Unsurlar","mezar taşı","Kelime / ifade","3","True","6-10 yaş için daha sıkı değerlendirilir","Sistem varsayılanı"
"Sistem","korku_travma","Korku, Travma ve Karanlık Unsurlar","mezar taşı anlatımı","Kelime / ifade","3","True","6-10 yaş için daha sıkı değerlendirilir","Sistem varsayılanı"
"Sistem","korku_travma","Korku, Travma ve Karanlık Unsurlar","mezar taşı ifadesi","Kelime / ifade","3","True","6-10 yaş için daha sıkı değerlendirilir","Sistem varsayılanı"
"Sistem","korku_travma","Korku, Travma ve Karanlık Unsurlar","mezar taşı sahnesi","Kelime / ifade","3","True","6-10 yaş için daha sıkı değerlendirilir","Sistem varsayılanı"
"Sistem","korku_travma","Korku, Travma ve Karanlık Unsurlar","mezarlık","Kelime / ifade","3","True","6-10 yaş için daha sıkı değerlendirilir","Sistem varsayılanı"
"Sistem","korku_travma","Korku, Travma ve Karanlık Unsurlar","mezarlık anlatımı","Kelime / ifade","3","True","6-10 yaş için daha sıkı değerlendirilir","Sistem varsayılanı"
"Sistem","korku_travma","Korku, Travma ve Karanlık Unsurlar","mezarlık göndermesi","Kelime / ifade","3","True","6-10 yaş için daha sıkı değerlendirilir","Sistem varsayılanı"
"Sistem","korku_travma","Korku, Travma ve Karanlık Unsurlar","mezarlık ifadesi","Kelime / ifade","3","True","6-10 yaş için daha sıkı değerlendirilir","Sistem varsayılanı"
"Sistem","korku_travma","Korku, Travma ve Karanlık Unsurlar","mezarlık sahnesi","Kelime / ifade","3","True","6-10 yaş için daha sıkı değerlendirilir","Sistem varsayılanı"
"Sistem","korku_travma","Korku, Travma ve Karanlık Unsurlar","ölü","Kelime / ifade","3","True","6-10 yaş için daha sıkı değerlendirilir","Sistem varsayılanı"
"Sistem","korku_travma","Korku, Travma ve Karanlık Unsurlar","ölü anlatımı","Kelime / ifade","3","True","6-10 yaş için daha sıkı değerlendirilir","Sistem varsayılanı"
"Sistem","korku_travma","Korku, Travma ve Karanlık Unsurlar","ölü göndermesi","Kelime / ifade","3","True","6-10 yaş için daha sıkı değerlendirilir","Sistem varsayılanı"
"Sistem","korku_travma","Korku, Travma ve Karanlık Unsurlar","ölü ifadesi","Kelime / ifade","3","True","6-10 yaş için daha sıkı değerlendirilir","Sistem varsayılanı"
"Sistem","korku_travma","Korku, Travma ve Karanlık Unsurlar","ölü sahnesi","Kelime / ifade","3","True","6-10 yaş için daha sıkı değerlendirilir","Sistem varsayılanı"
"Sistem","korku_travma","Korku, Travma ve Karanlık Unsurlar","ölüler","Kelime / ifade","3","True","6-10 yaş için daha sıkı değerlendirilir","Sistem varsayılanı"
"Sistem","korku_travma","Korku, Travma ve Karanlık Unsurlar","ölüler anlatımı","Kelime / ifade","3","True","6-10 yaş için daha sıkı değerlendirilir","Sistem varsayılanı"
"Sistem","korku_travma","Korku, Travma ve Karanlık Unsurlar","ölüler göndermesi","Kelime / ifade","3","True","6-10 yaş için daha sıkı değerlendirilir","Sistem varsayılanı"
