TOTAL 78
CRITICAL 75
HIGH 3

LINE   19 | CRITICAL | compare   | endpoint_or_url_literal             | value='PDF endpoint' | snippet='"PDF endpoint"'
LINE  783 | CRITICAL | assign    | endpoint_or_url_literal,file_path_or_pdf | value='<?xml version="1.0" encoding="UTF-8" standalone="yes"?><Types xmlns="http://schemas.openxmlformats.org/package/2006/content-types"><Default Extension="rels" ContentType="application/vnd.openxmlformats-package.relationships+xml"/><Default Extension="xml" ContentType="application/xml"/><Override PartName="/xl/workbook.xml" ContentType="application/vnd.openxmlformats-officedocument.spreadsheetml.sheet.main+xml"/><Override PartName="/xl/worksheets/sheet1.xml" ContentType="application/vnd.openxmlformats-officedocument.spreadsheetml.worksheet+xml"/></Types>' | snippet='\'<?xml version="1.0" encoding="UTF-8" standalone="yes"?>\'\n        \'<Types xmlns="http://schemas.openxmlformats.org/package/2006/content-types">\'\n        \'<Default Extension="rels" ContentType="application/vnd.openxmlformats-package.relationships+xml"/>\'\n        \'<Default Extension="xml" ContentType="application/xml"/>\'\n        \'<Override PartName="/xl/workbook.xml" ContentType="application/vnd.openxmlformats-officedocument.spreadsheetml.sheet.main+xml"/>\'\n        \'<Override PartName="/xl/worksheets/sheet1.xml" ContentType="application/vnd.openxmlformats-officedocument.spreadsheetml.worksheet+xml"/>\'\n        \'</Types>\''
LINE  795 | CRITICAL | call_arg  | file_path_or_pdf                    | value='_rels/.rels' | snippet='"_rels/.rels"'
LINE  796 | CRITICAL | call_arg  | file_path_or_pdf                    | value='xl/workbook.xml' | snippet='"xl/workbook.xml"'
LINE  797 | CRITICAL | call_arg  | file_path_or_pdf                    | value='xl/_rels/workbook.xml.rels' | snippet='"xl/_rels/workbook.xml.rels"'
LINE  798 | CRITICAL | call_arg  | file_path_or_pdf                    | value='xl/worksheets/sheet1.xml' | snippet='"xl/worksheets/sheet1.xml"'
LINE  803 | CRITICAL | call_arg  | endpoint_or_url_literal,file_path_or_pdf | value='/api/kelime-yonetimi/export-excel' | snippet="'/api/kelime-yonetimi/export-excel'"
LINE  815 | CRITICAL | literal   | file_path_or_pdf                    | value='application/vnd.openxmlformats-officedocument.spreadsheetml.sheet' | snippet='"application/vnd.openxmlformats-officedocument.spreadsheetml.sheet"'
LINE  821 | CRITICAL | call_arg  | endpoint_or_url_literal,file_path_or_pdf | value='/api/yukleme' | snippet="'/api/yukleme'"
LINE  863 | CRITICAL | call_arg  | endpoint_or_url_literal,file_path_or_pdf | value='/api/degerlendir' | snippet="'/api/degerlendir'"
LINE  865 | CRITICAL | expr      | file_path_or_pdf                    | value='\n    Kitabı Maarif Modeli\'ne göre değerlendir\n    \n    POST Body:\n    {\n        "dosya_yolu": "path/to/file.pdf",\n        "profil": "hibrit" (default),\n        "yas_grubu": "6-12" (default)\n    }\n    ' | snippet='"""\n    Kitabı Maarif Modeli\'ne göre değerlendir\n    \n    POST Body:\n    {\n        "dosya_yolu": "path/to/file.pdf",\n        "profil": "hibrit" (default),\n        "yas_grubu": "6-12" (default)\n    }\n    """'
